date,state,current,target
2017-02-10 09:30:16.217349,no job,48.3,71
2017-02-10 09:30:21.793113,no job,48.3,71
2017-02-10 09:30:27.385334,no job,48.2,71
2017-02-10 09:30:32.999358,no job,48.2,71
2017-02-10 09:30:38.576555,no job,48.1,71
2017-02-10 09:30:44.156836,no job,48.1,71
2017-02-10 09:30:49.788313,no job,48.1,71
2017-02-10 09:30:55.352643,no job,48,71
2017-02-10 09:31:01.873983,no job,48,71
2017-02-10 09:31:07.437317,no job,48,71
2017-02-10 09:31:13.002901,no job,48,71
2017-02-10 09:31:18.587417,no job,47.9,71
2017-02-10 09:31:24.263245,no job,47.9,71
2017-02-10 09:31:29.887966,no job,47.9,71
2017-02-10 09:31:35.455282,no job,47.8,71
2017-02-10 09:31:41.043975,no job,47.8,71
2017-02-10 09:31:46.688084,no job,47.8,71
2017-02-10 09:31:52.296363,no job,47.7,71
2017-02-10 09:31:57.890345,no job,47.7,71
2017-02-10 09:32:03.580646,no job,47.7,71
2017-02-10 09:32:09.298958,no job,47.6,71
2017-02-10 09:32:14.983831,no job,47.6,71
2017-02-10 09:32:20.690790,no job,47.5,71
2017-02-10 09:32:26.269475,no job,47.5,71
2017-02-10 09:32:31.845376,no job,47.5,71
2017-02-10 09:32:37.419960,no job,47.4,71
2017-02-10 09:32:43.005296,no job,47.4,71
2017-02-10 09:32:48.600545,no job,47.4,71
2017-02-10 09:32:54.211114,no job,47.4,71
2017-02-10 09:32:59.785828,no job,47.3,71
2017-02-10 09:33:05.365300,no job,47.3,71
2017-02-10 09:33:10.979681,no job,47.2,71
2017-02-10 09:33:16.830747,no job,47.2,71
2017-02-10 09:33:22.415071,no job,47.2,71
2017-02-10 09:33:28.001710,no job,47.2,71
2017-02-10 09:33:33.579752,no job,47.1,71
2017-02-10 09:33:39.192515,no job,47.1,71
2017-02-10 09:33:44.812300,no job,47.1,71
2017-02-10 09:33:50.453736,no job,47,71
2017-02-10 09:33:56.088513,no job,47,71
2017-02-10 09:34:01.677092,no job,47,71
2017-02-10 09:34:07.277580,no job,46.9,71
2017-02-10 09:34:12.977635,no job,46.9,71
2017-02-10 09:34:18.791851,no job,46.9,71
2017-02-10 09:34:24.437481,no job,46.8,71
2017-02-10 09:34:30.103735,no job,46.8,71
2017-02-10 09:34:35.719347,no job,46.8,71
2017-02-10 09:34:41.343467,no job,46.8,71
2017-02-10 09:34:46.937389,no job,46.7,71
2017-02-10 09:34:53.525888,no job,46.7,71
2017-02-10 09:34:59.152852,no job,46.6,71
2017-02-10 09:35:04.731583,no job,46.6,71
2017-02-10 09:35:11.002229,no job,46.6,71
2017-02-10 09:35:16.570491,no job,46.6,71
2017-02-10 09:35:22.147832,no job,46.5,71
2017-02-10 09:35:27.787198,no job,46.5,71
2017-02-10 09:35:33.433669,no job,46.5,71
2017-02-10 09:35:39.054633,no job,46.4,71
2017-02-10 09:35:44.618107,no job,46.4,71
2017-02-10 09:35:50.295816,no job,46.4,71
2017-02-10 09:35:55.917229,no job,46.3,71
2017-02-10 09:36:01.494620,no job,46.3,71
2017-02-10 09:36:07.093197,no job,46.3,71
2017-02-10 09:36:12.681162,no job,46.2,71
2017-02-10 09:36:18.305461,no job,46.2,71
2017-02-10 09:36:23.939383,no job,46.2,71
2017-02-10 09:36:29.606163,no job,46.2,71
2017-02-10 09:36:35.283088,no job,46.1,71
2017-02-10 09:36:41.321679,no job,46.1,71
2017-02-10 09:36:46.906371,no job,46.1,71
2017-02-10 09:36:52.473580,no job,46,71
2017-02-10 09:36:58.066746,no job,46,71
2017-02-10 09:37:03.725860,no job,46,71
2017-02-10 09:37:09.388299,no job,45.9,71
2017-02-10 09:37:16.132508,no job,45.9,71
2017-02-10 09:37:21.710601,no job,45.9,71
2017-02-10 09:37:27.422702,no job,45.8,71
2017-02-10 09:37:32.969026,no job,45.8,71
2017-02-10 09:37:38.555415,no job,45.8,71
2017-02-10 09:37:44.118714,no job,45.7,71
2017-02-10 09:37:49.907152,no job,45.7,71
2017-02-10 09:37:55.499149,no job,45.7,71
2017-02-10 09:38:01.096769,no job,45.6,71
2017-02-10 09:38:06.675964,no job,45.6,71
2017-02-10 09:38:12.248608,no job,45.6,71
2017-02-10 09:38:17.875417,no job,45.6,71
2017-02-10 09:38:23.446964,no job,45.5,71
2017-02-10 09:38:30.258530,no job,45.5,71
2017-02-10 09:38:35.883845,no job,45.5,71
2017-02-10 09:38:41.502779,no job,45.4,71
2017-02-10 09:38:47.117791,no job,45.4,71
